game_id,event_id,event_type,period,period_type,time_in_period,time_remaining,coordinates_x,coordinates_y,zone_code,event_owner_team_id,away_team_id,home_team_id,situation_code,home_team_defending_side,shot_type,shooter_id,goalie_id,away_sog,home_sog,scoring_player_id,assist1_player_id,assist2_player_id,away_score,home_score
2024020890,52,period-start,1,REG,00:00,20:00,,,,,59,15,1551,right,,,,,,,,,,
2024020890,51,faceoff,1,REG,00:00,20:00,0.0,0.0,N,59.0,59,15,1551,right,,,,,,,,,,
2024020890,120,giveaway,1,REG,00:53,19:07,-57.0,29.0,D,59.0,59,15,1551,right,,,,,,,,,,
2024020890,112,goal,1,REG,01:10,18:50,36.0,-7.0,O,59.0,59,15,1551,right,wrist,,8480313.0,,,8482659.0,8480855.0,8478971.0,1.0,0.0
2024020890,53,faceoff,1,REG,01:10,18:50,0.0,0.0,N,59.0,59,15,1551,right,,,,,,,,,,
2024020890,134,giveaway,1,REG,01:21,18:39,63.0,41.0,O,59.0,59,15,1551,right,,,,,,,,,,
2024020890,117,goal,1,REG,01:42,18:18,84.0,3.0,O,59.0,59,15,1551,right,tip-in,,8480313.0,,,8479619.0,8482699.0,8480084.0,2.0,0.0
2024020890,54,faceoff,1,REG,01:42,18:18,0.0,0.0,N,59.0,59,15,1551,right,,,,,,,,,,
2024020890,147,giveaway,1,REG,01:48,18:12,19.0,-12.0,N,59.0,59,15,1551,right,,,,,,,,,,
2024020890,146,hit,1,REG,02:21,17:39,21.0,24.0,N,59.0,59,15,1551,right,,,,,,,,,,
2024020890,149,giveaway,1,REG,02:45,17:15,-52.0,-42.0,O,15.0,59,15,1551,right,,,,,,,,,,
2024020890,136,missed-shot,1,REG,03:06,16:54,50.0,-28.0,O,59.0,59,15,1551,right,slap,8479343.0,8480313.0,,,,,,,
2024020890,8,stoppage,1,REG,03:09,16:51,,,,,59,15,1551,right,,,,,,,,,,
2024020890,55,faceoff,1,REG,03:09,16:51,69.0,-22.0,O,59.0,59,15,1551,right,,,,,,,,,,
2024020890,143,penalty,1,REG,03:15,16:45,38.0,35.0,O,59.0,59,15,1551,right,,,,,,,,,,
2024020890,201,faceoff,1,REG,03:15,16:45,-69.0,22.0,O,15.0,59,15,1451,right,,,,,,,,,,
2024020890,148,shot-on-goal,1,REG,03:22,16:38,70.0,18.0,O,59.0,59,15,1451,right,wrist,8477021.0,8480313.0,1.0,0.0,,,,,
2024020890,150,goal,1,REG,03:47,16:13,-72.0,14.0,O,15.0,59,15,1451,right,slap,,8478971.0,,,8476880.0,8479400.0,8478440.0,2.0,1.0
2024020890,202,faceoff,1,REG,03:47,16:13,0.0,0.0,N,59.0,59,15,1551,right,,,,,,,,,,
2024020890,182,giveaway,1,REG,03:51,16:09,-37.0,-27.0,D,59.0,59,15,1551,right,,,,,,,,,,
2024020890,187,giveaway,1,REG,03:57,16:03,-42.0,-36.0,D,59.0,59,15,1551,right,,,,,,,,,,
2024020890,189,giveaway,1,REG,04:06,15:54,-87.0,-32.0,D,59.0,59,15,1551,right,,,,,,,,,,
2024020890,190,giveaway,1,REG,05:00,15:00,-29.0,-41.0,O,15.0,59,15,1551,right,,,,,,,,,,
2024020890,167,missed-shot,1,REG,05:04,14:56,43.0,-40.0,O,59.0,59,15,1551,right,wrist,8478831.0,8480313.0,,,,,,,
2024020890,168,blocked-shot,1,REG,05:09,14:51,80.0,6.0,D,59.0,59,15,1551,right,,8479410.0,,,,,,,,
2024020890,191,takeaway,1,REG,05:15,14:45,43.0,-4.0,O,59.0,59,15,1551,right,,,,,,,,,,
2024020890,169,shot-on-goal,1,REG,05:19,14:41,52.0,31.0,O,59.0,59,15,1551,right,slap,8477070.0,8480313.0,2.0,0.0,,,,,
2024020890,172,shot-on-goal,1,REG,05:24,14:36,82.0,-12.0,O,59.0,59,15,1551,right,wrist,8477021.0,8480313.0,3.0,0.0,,,,,
2024020890,173,blocked-shot,1,REG,05:26,14:34,87.0,6.0,D,59.0,59,15,1551,right,,8475760.0,,,,,,,,
2024020890,175,shot-on-goal,1,REG,05:27,14:33,82.0,8.0,O,59.0,59,15,1551,right,backhand,8480084.0,8480313.0,4.0,0.0,,,,,
2024020890,184,missed-shot,1,REG,05:59,14:01,-63.0,-24.0,O,15.0,59,15,1551,right,snap,8474590.0,8478971.0,,,,,,,
2024020890,9,stoppage,1,REG,06:02,13:58,,,,,59,15,1551,right,,,,,,,,,,
2024020890,203,faceoff,1,REG,06:02,13:58,-69.0,-22.0,D,59.0,59,15,1551,right,,,,,,,,,,
2024020890,10,stoppage,1,REG,06:19,13:41,,,,,59,15,1551,right,,,,,,,,,,
2024020890,56,faceoff,1,REG,06:19,13:41,0.0,0.0,N,15.0,59,15,1551,right,,,,,,,,,,
2024020890,259,hit,1,REG,06:58,13:02,-97.0,6.0,N,15.0,59,15,1551,right,,,,,,,,,,
2024020890,255,goal,1,REG,07:07,12:53,79.0,-8.0,O,59.0,59,15,1551,right,wrist,,8480313.0,,,8480855.0,8480891.0,8482659.0,3.0,1.0
2024020890,57,faceoff,1,REG,07:07,12:53,0.0,0.0,N,15.0,59,15,1551,right,,,,,,,,,,
2024020890,264,hit,1,REG,07:31,12:29,-63.0,38.0,N,15.0,59,15,1551,right,,,,,,,,,,
2024020890,11,stoppage,1,REG,07:36,12:24,,,,,59,15,1551,right,,,,,,,,,,
2024020890,58,faceoff,1,REG,07:36,12:24,20.0,-22.0,N,59.0,59,15,1551,right,,,,,,,,,,
